subject,quarter,grade,standardID,standard,gradeObjID,objective,subobjective,indicator,resources
english,1,1,1,"Students read a wide range of informational print and non-print texts by a wide variety of writers, including Pacific authors, to acquire new information, to respond to the needs and demands of society and the workplace, to understand how meaning is expressed in these texts, and to learn about themselves, Palau, and the world.",1,"With prompting and support, identify features of a book.","	Identify the front cover, back cover, and title page of a book.","Tell where the title of the book is, the front of the book and the back of the book",Big Books
english,1,1,1,,1,,Point to the name of the author and the illustrator of the book.,"Tell how to read a book (start from top to bottom, left to right wrap around left to right)",Harcourt Trophies
english,1,1,1,,1,,,"Point to the title of the book, the name of the author and the illustrator",Grade 1 Level Books
english,1,1,1,,1,,,,Newspapers
english,1,1,1,,1,,,,Magazines
english,1,1,1,,1,,,,Rules and laws
english,1,1,1,,1,,,,Signs
english,1,1,1,,1,,,,Biographies
english,1,1,1,,1,,,,Advertisements
english,1,1,1,,1,,,,Brochures
english,1,1,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.",1,With prompting and support recognize what a literary text is.,"Recognize that storybooks, poems, and songs are common types of literary texts.","Discuss the common types of literary texts (story books, poems, & songs)",Story Books
english,1,1,2,,1,,"Draw pictures to express elements of a story or poem (e.g., the main character, setting).","Draw pictures to express the elements of the story or poem(e.g. main character, setting)",Poems
english,1,1,2,,1,,"Identify the elements of a story to answer the questions, who, where, and what happened.","Identify the element of a story using a story map (beginning, middle, & end)",Songs
english,1,1,2,,1,,,,Just Right Reading workbook
english,1,1,2,,1,,,,Speedy Spelling workbook
english,1,1,2,,1,,,,Guess Who? Textbook
english,1,1,2,,1,,,,Practice book Vol.1
english,1,1,2,,1,,,,ELL Copying Master
english,1,1,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",1,"With support, demonstrate understanding of the organization and basic features of print.","Follow words from left to right, top to bottom, and page-by-page.",Identify and name all the upper-and lower case letters of alphabet,RSN Booklets for teachers
english,1,1,3,,1,,"Recognize, by specific sequences of letters, that spoken words are represented by written language.","Recognize that specific sequences of letters in a spoken word are represented by written language.(e.g., the word mat is formed by letters m,a,t)",Harcourt Trophies Themes
english,1,1,3,,1,,Understand that words are separated by spaces in print.,Know that words are separated by spaces in print,Harcourt Language Art
english,1,1,3,,1,,Recognize and name all upper- and lowercase letters of the alphabet.,"Read and follow words from left to right, top to bottom and page by page",Alphabet letters 
english,1,1,4,"Students acquire and use vocabulary to create, discuss, and critique texts.",1,"With support, demonstrate understanding of words and determine the meanings of common words and phrases relevant to a grade 1 topic or subject area.",Identify new meanings for familiar words.,Demonstrate understanding of word meanings,Tablets
